Topology	T2	T1	res_topo
ABC	0.088	0.128	ABC
ACB	0.1265	0.2675	other
ABC	0.12	0.158	ABC
ABC	0.092	0.127	ABC
ABC	0.0885	0.1185	ABC
ABC	0.088	0.146	ABC
ABC	0.1105	0.1265	ABC
ABC	0.082	0.125	ABC
ABC	0.0935	0.1175	ABC
ABC	0.0845	0.1145	ABC
ACB	0.1305	0.3315	other
ABC	0.0965	0.1395	ABC
ABC	0.0885	0.1555	ABC
ABC	0.087	0.114	ABC
ABC	0.0845	0.1145	ABC
ABC	0.0835	0.1135	ABC
ABC	0.0905	0.1405	ABC
ABC	0.126	0.126	ABC
ABC	0.0835	0.1355	ABC
ABC	0.0905	0.1655	ABC
ABC	0.097	0.144	ABC
ABC	0.094	0.134	ABC
ABC	0.0925	0.1495	ABC
ABC	0.089	0.129	ABC
ABC	0.103	0.13	ABC
ABC	0.097	0.118	ABC
ABC	0.087	0.132	ABC
ABC	0.0875	0.1235	ABC
ABC	0.076	0.127	ABC
ABC	0.0835	0.1475	ABC
ABC	0.101	0.138	ABC
ABC	0.0765	0.1395	ABC
ACB	0.1185	0.2435	other
ABC	0.105	0.147	ABC
ABC	0.089	0.131	ABC
ABC	0.084	0.125	ABC
ABC	0.097	0.131	ABC
ABC	0.0965	0.1475	ABC
ACB	0.133	0.254	other
ABC	0.104	0.133	ABC
ABC	0.1045	0.1385	ABC
ABC	0.0835	0.1515	ABC
ABC	0.1025	0.1365	ABC
ABC	0.0895	0.1385	ABC
ACB	0.1425	0.2705	other
ACB	0.1355	0.2565	other
ABC	0.0875	0.1505	ABC
ABC	0.0875	0.1305	ABC
ACB	0.138	0.252	other
ACB	0.1355	0.2775	other
ABC	0.1015	0.1535	ABC
ABC	0.0925	0.1315	ABC
ABC	0.0935	0.1245	ABC
ACB	0.1195	0.2215	other
ABC	0.0925	0.1285	ABC
ABC	0.106	0.195	ABC
ABC	0.0895	0.1205	ABC
ACB	0.1575	0.2525	other
ABC	0.088	0.141	ABC
ABC	0.0895	0.1365	ABC
ABC	0.118	0.135	ABC
ACB	0.155	0.259	other
ABC	0.0905	0.1315	ABC
ABC	0.0955	0.1565	ABC
ABC	0.085	0.121	ABC
ABC	0.096	0.147	ABC
ABC	0.101	0.142	ABC
ACB	0.1405	0.2585	other
ACB	0.1355	0.2465	other
ABC	0.089	0.137	ABC
ABC	0.082	0.153	ABC
ACB	0.1375	0.2505	other
ABC	0.088	0.149	ABC
ABC	0.0895	0.1405	ABC
ABC	0.091	0.139	ABC
ABC	0.095	0.147	ABC
ABC	0.103	0.137	ABC
ABC	0.101	0.125	ABC
ABC	0.0865	0.1415	ABC
ABC	0.099	0.139	ABC
ABC	0.0835	0.1345	ABC
ABC	0.1055	0.2165	ABC
ACB	0.1185	0.2385	other
ABC	0.095	0.142	ABC
ABC	0.0765	0.1285	ABC
ABC	0.0785	0.1275	ABC
ABC	0.107	0.158	ABC
ACB	0.1445	0.2585	other
ABC	0.0945	0.1735	ABC
ABC	0.0835	0.1215	ABC
ABC	0.0805	0.1195	ABC
ABC	0.087	0.118	ABC
ABC	0.0855	0.1265	ABC
ABC	0.1085	0.1445	ABC
ABC	0.0885	0.1325	ABC
ABC	0.0865	0.1345	ABC
ACB	0.1425	0.2465	other
ABC	0.108	0.153	ABC
ABC	0.0935	0.1405	ABC
ABC	0.095	0.123	ABC
ABC	0.0925	0.1385	ABC
ABC	0.092	0.139	ABC
ACB	0.1285	0.2755	other
ACB	0.117	0.225	other
ABC	0.097	0.144	ABC
ABC	0.135	0.148	ABC
ABC	0.086	0.134	ABC
ABC	0.1055	0.1315	ABC
ABC	0.095	0.131	ABC
ABC	0.104	0.131	ABC
ABC	0.1065	0.1325	ABC
ABC	0.092	0.124	ABC
ACB	0.139	0.266	other
ABC	0.104	0.142	ABC
ABC	0.093	0.134	ABC
ABC	0.0845	0.1305	ABC
ABC	0.105	0.161	ABC
ABC	0.097	0.134	ABC
ABC	0.0915	0.1315	ABC
ABC	0.108	0.14	ABC
ABC	0.092	0.127	ABC
ACB	0.1475	0.2485	other
ACB	0.1325	0.2625	other
ABC	0.089	0.129	ABC
ABC	0.1085	0.1385	ABC
ACB	0.1325	0.2465	other
ABC	0.0845	0.1275	ABC
ABC	0.0775	0.1195	ABC
ABC	0.08	0.153	ABC
ABC	0.097	0.142	ABC
ABC	0.0815	0.1455	ABC
ABC	0.0925	0.1505	ABC
ABC	0.104	0.161	ABC
ACB	0.177	0.258	other
ABC	0.0925	0.1405	ABC
ABC	0.087	0.126	ABC
ABC	0.119	0.146	ABC
ABC	0.1055	0.1505	ABC
ABC	0.094	0.139	ABC
ABC	0.084	0.122	ABC
ABC	0.096	0.127	ABC
ABC	0.085	0.123	ABC
ABC	0.0925	0.1495	ABC
ABC	0.092	0.145	ABC
ACB	0.1265	0.2635	other
ABC	0.079	0.121	ABC
ABC	0.0715	0.1165	ABC
ABC	0.0865	0.1185	ABC
ACB	0.146	0.279	other
ACB	0.129	0.239	other
ABC	0.1065	0.1425	ABC
ABC	0.1045	0.1625	ABC
ABC	0.0935	0.1395	ABC
ACB	0.1395	0.2545	other
ABC	0.0915	0.1535	ABC
ABC	0.107	0.137	ABC
ABC	0.1035	0.1415	ABC
ABC	0.0915	0.1275	ABC
ABC	0.086	0.158	ABC
ABC	0.0905	0.1275	ABC
ACB	0.1365	0.2615	other
ABC	0.087	0.155	ABC
ABC	0.0745	0.1265	ABC
ABC	0.0955	0.1925	ABC
ABC	0.0965	0.1405	ABC
ACB	0.1245	0.2675	other
ABC	0.116	0.131	ABC
ABC	0.092	0.169	ABC
ABC	0.078	0.148	ABC
ACB	0.1225	0.2535	other
ABC	0.095	0.141	ABC
ABC	0.08	0.125	ABC
ACB	0.13	0.257	other
ACB	0.1315	0.2675	other
ABC	0.095	0.129	ABC
ABC	0.085	0.132	ABC
ABC	0.0915	0.1465	ABC
ABC	0.097	0.149	ABC
ABC	0.093	0.138	ABC
ABC	0.0965	0.1395	ABC
ACB	0.118	0.225	other
ABC	0.0985	0.1395	ABC
ABC	0.0845	0.1235	ABC
ABC	0.091	0.135	ABC
ABC	0.112	0.131	ABC
ABC	0.0965	0.1525	ABC
ABC	0.0895	0.1315	ABC
ABC	0.0895	0.1355	ABC
ABC	0.086	0.116	ABC
ABC	0.089	0.135	ABC
ABC	0.1005	0.1595	ABC
ABC	0.102	0.137	ABC
ABC	0.098	0.145	ABC
ACB	0.1405	0.2565	other
ABC	0.0955	0.1315	ABC
ABC	0.0885	0.1375	ABC
ACB	0.141	0.294	other
ABC	0.1055	0.1275	ABC
ABC	0.099	0.127	ABC
ACB	0.1245	0.1305	other
ABC	0.1015	0.1255	ABC
ABC	0.1095	0.1555	ABC
ABC	0.1185	0.1255	ABC
ABC	0.1215	0.1395	ABC
ABC	0.0905	0.1425	ABC
ABC	0.082	0.118	ABC
ABC	0.0905	0.1225	ABC
ABC	0.0975	0.1385	ABC
ABC	0.0855	0.1385	ABC
ACB	0.1135	0.2255	other
ABC	0.0745	0.1145	ABC
ABC	0.096	0.131	ABC
ABC	0.0815	0.1215	ABC
ABC	0.074	0.128	ABC
ABC	0.1275	0.1595	ABC
ABC	0.112	0.138	ABC
ABC	0.0895	0.1445	ABC
ABC	0.081	0.127	ABC
ABC	0.0915	0.1495	ABC
ACB	0.1235	0.2255	other
ACB	0.143	0.259	other
ABC	0.0945	0.1285	ABC
ABC	0.09	0.129	ABC
ABC	0.0975	0.1575	ABC
ABC	0.0865	0.1265	ABC
ABC	0.1	0.14	ABC
ACB	0.152	0.268	other
ACB	0.134	0.272	other
ABC	0.116	0.145	ABC
ABC	0.089	0.129	ABC
ABC	0.089	0.131	ABC
ABC	0.08	0.132	ABC
ABC	0.1275	0.1365	ABC
ABC	0.0915	0.1465	ABC
ABC	0.088	0.138	ABC
ABC	0.102	0.121	ABC
ABC	0.091	0.132	ABC
ACB	0.126	0.247	other
ABC	0.087	0.136	ABC
ABC	0.093	0.136	ABC
ABC	0.0785	0.1155	ABC
ABC	0.098	0.137	ABC
ACB	0.1465	0.2715	other
ABC	0.0825	0.1255	ABC
ACB	0.127	0.257	other
ABC	0.0855	0.1265	ABC
ABC	0.0995	0.1435	ABC
ACB	0.145	0.298	other
ABC	0.1105	0.1555	ABC
ABC	0.078	0.139	ABC
ABC	0.1135	0.1325	ABC
ABC	0.1215	0.1605	ABC
ACB	0.129	0.263	other
ABC	0.092	0.128	ABC
ABC	0.101	0.148	ABC
ABC	0.08	0.126	ABC
ACB	0.143	0.288	other
ABC	0.1025	0.1385	ABC
ACB	0.166	0.265	other
ACB	0.145	0.282	other
ABC	0.0885	0.1285	ABC
ABC	0.1075	0.1445	ABC
ABC	0.081	0.123	ABC
ACB	0.1265	0.2755	other
ABC	0.0935	0.1495	ABC
ACB	0.1435	0.2455	other
ABC	0.0865	0.1415	ABC
ABC	0.0835	0.1225	ABC
ABC	0.085	0.125	ABC
ABC	0.118	0.159	ABC
ABC	0.086	0.125	ABC
ABC	0.1055	0.1445	ABC
ABC	0.095	0.125	ABC
ABC	0.0975	0.1245	ABC
ABC	0.098	0.14	ABC
ABC	0.1025	0.1255	ABC
ABC	0.089	0.121	ABC
ABC	0.1055	0.1415	ABC
ABC	0.0935	0.1725	ABC
ABC	0.087	0.126	ABC
ABC	0.0875	0.1365	ABC
ABC	0.131	0.134	ABC
ABC	0.0995	0.1535	ABC
ABC	0.0825	0.1405	ABC
ABC	0.129	0.151	ABC
ABC	0.0885	0.1305	ABC
ABC	0.0835	0.1245	ABC
ABC	0.079	0.127	ABC
ABC	0.12	0.133	ABC
ABC	0.096	0.14	ABC
ABC	0.136	0.148	ABC
ABC	0.091	0.121	ABC
ACB	0.1305	0.2785	other
ABC	0.1175	0.1295	ABC
ABC	0.1065	0.1315	ABC
ABC	0.089	0.141	ABC
ACB	0.129	0.133	other
ABC	0.088	0.147	ABC
ABC	0.0885	0.1315	ABC
ABC	0.106	0.142	ABC
ABC	0.1005	0.1615	ABC
ACB	0.129	0.248	other
ABC	0.0895	0.1225	ABC
ABC	0.099	0.15	ABC
ABC	0.1155	0.1555	ABC
ABC	0.0935	0.1475	ABC
ABC	0.1105	0.1735	ABC
ACB	0.1405	0.2715	other
ABC	0.1015	0.1495	ABC
ABC	0.088	0.135	ABC
ABC	0.0955	0.1475	ABC
ABC	0.0915	0.1165	ABC
ACB	0.1185	0.2555	other
ABC	0.0935	0.1445	ABC
ABC	0.082	0.132	ABC
ABC	0.0945	0.1625	ABC
ABC	0.097	0.126	ABC
ABC	0.094	0.163	ABC
ABC	0.0835	0.1215	ABC
ABC	0.0865	0.1685	ABC
ABC	0.0845	0.1455	ABC
ABC	0.087	0.151	ABC
ABC	0.0845	0.1235	ABC
ABC	0.108	0.161	ABC
ABC	0.0975	0.1315	ABC
ABC	0.082	0.164	ABC
ABC	0.0855	0.1395	ABC
ABC	0.0935	0.1445	ABC
ABC	0.0815	0.1245	ABC
ABC	0.0975	0.1255	ABC
ABC	0.0895	0.1345	ABC
ABC	0.0925	0.1275	ABC
ABC	0.1045	0.1235	ABC
ABC	0.097	0.135	ABC
ABC	0.0965	0.1205	ABC
ABC	0.075	0.13	ABC
ACB	0.145	0.259	other
ABC	0.0935	0.1615	ABC
ABC	0.0805	0.1285	ABC
ABC	0.107	0.146	ABC
ABC	0.118	0.142	ABC
ABC	0.0915	0.1575	ABC
ACB	0.1505	0.2535	other
ABC	0.103	0.145	ABC
ABC	0.096	0.121	ABC
ABC	0.0715	0.1225	ABC
ABC	0.0815	0.1375	ABC
ABC	0.0835	0.1245	ABC
ABC	0.108	0.176	ABC
ABC	0.079	0.129	ABC
ABC	0.098	0.161	ABC
ACB	0.1315	0.2605	other
ABC	0.1205	0.1445	ABC
ABC	0.0865	0.1145	ABC
ABC	0.1185	0.1285	ABC
ABC	0.1	0.135	ABC
ABC	0.106	0.153	ABC
ABC	0.107	0.167	ABC
ABC	0.0815	0.1215	ABC
ABC	0.0855	0.1395	ABC
ABC	0.1045	0.1535	ABC
ABC	0.099	0.136	ABC
ABC	0.0905	0.1235	ABC
ABC	0.1175	0.1455	ABC
ABC	0.0815	0.1275	ABC
ACB	0.1295	0.2665	other
ACB	0.127	0.243	other
ACB	0.1195	0.2545	other
ACB	0.1705	0.2385	other
ABC	0.082	0.119	ABC
ABC	0.0815	0.1335	ABC
ABC	0.0875	0.1345	ABC
ABC	0.096	0.137	ABC
ABC	0.0805	0.1385	ABC
ABC	0.0995	0.1545	ABC
ABC	0.094	0.133	ABC
ABC	0.1045	0.1305	ABC
ABC	0.09	0.12	ABC
ACB	0.14	0.264	other
ACB	0.126	0.271	other
ACB	0.1515	0.2355	other
ACB	0.1465	0.2535	other
ABC	0.095	0.131	ABC
ABC	0.1005	0.1425	ABC
ABC	0.0875	0.1385	ABC
ACB	0.137	0.271	other
ABC	0.082	0.11	ABC
ABC	0.099	0.142	ABC
ABC	0.0935	0.1285	ABC
ABC	0.081	0.125	ABC
ABC	0.084	0.13	ABC
ABC	0.1	0.146	ABC
ABC	0.0985	0.1385	ABC
ABC	0.081	0.139	ABC
ABC	0.101	0.146	ABC
ABC	0.0885	0.1435	ABC
ABC	0.082	0.139	ABC
ACB	0.1215	0.2475	other
ABC	0.092	0.136	ABC
ABC	0.0925	0.1415	ABC
ABC	0.091	0.131	ABC
ABC	0.103	0.141	ABC
ABC	0.0995	0.1495	ABC
ABC	0.0945	0.1345	ABC
ACB	0.144	0.253	other
ABC	0.092	0.156	ABC
ABC	0.0805	0.1345	ABC
ACB	0.1535	0.2685	other
ABC	0.1125	0.1355	ABC
ABC	0.0945	0.1545	ABC
ABC	0.106	0.141	ABC
ABC	0.0875	0.1485	ABC
ABC	0.097	0.141	ABC
ABC	0.0875	0.1445	ABC
ABC	0.1015	0.1305	ABC
ABC	0.087	0.155	ABC
ABC	0.091	0.124	ABC
ABC	0.0885	0.1375	ABC
ACB	0.121	0.263	other
ABC	0.1065	0.1605	ABC
ABC	0.084	0.148	ABC
ACB	0.1355	0.2385	other
ABC	0.094	0.153	ABC
ABC	0.0975	0.1345	ABC
ABC	0.089	0.139	ABC
ABC	0.0935	0.1515	ABC
ACB	0.1205	0.2455	other
ABC	0.111	0.157	ABC
ACB	0.132	0.27	other
ACB	0.145	0.25	other
ABC	0.0985	0.1975	ABC
ABC	0.0915	0.1405	ABC
ABC	0.1255	0.1435	ABC
ACB	0.1275	0.2355	other
ABC	0.0865	0.1305	ABC
ACB	0.146	0.259	other
ABC	0.083	0.156	ABC
ABC	0.0865	0.1145	ABC
ACB	0.1315	0.2775	other
ACB	0.131	0.272	other
ABC	0.1155	0.1585	ABC
ABC	0.1015	0.1405	ABC
ABC	0.09	0.133	ABC
ABC	0.1015	0.1475	ABC
ACB	0.1345	0.2555	other
ACB	0.145	0.237	other
ACB	0.156	0.287	other
ACB	0.142	0.27	other
ABC	0.074	0.114	ABC
ACB	0.1245	0.2815	other
ACB	0.132	0.266	other
ABC	0.0995	0.1455	ABC
ACB	0.141	0.276	other
ACB	0.1265	0.2525	other
ACB	0.165	0.265	other
ABC	0.096	0.138	ABC
ACB	0.1205	0.2485	other
ABC	0.087	0.137	ABC
ABC	0.1215	0.1555	ABC
ABC	0.08	0.138	ABC
ABC	0.089	0.133	ABC
ABC	0.0845	0.1275	ABC
ABC	0.084	0.143	ABC
ABC	0.1035	0.1505	ABC
ABC	0.0835	0.1515	ABC
ACB	0.137	0.276	other
ABC	0.082	0.128	ABC
ABC	0.098	0.138	ABC
ABC	0.0895	0.1295	ABC
ABC	0.089	0.152	ABC
ABC	0.0795	0.1325	ABC
ABC	0.08	0.163	ABC
ABC	0.081	0.129	ABC
ABC	0.082	0.127	ABC
ACB	0.1215	0.2555	other
ABC	0.089	0.14	ABC
ABC	0.095	0.143	ABC
ACB	0.138	0.272	other
ABC	0.096	0.157	ABC
ABC	0.074	0.108	ABC
ACB	0.1505	0.2745	other
ABC	0.11	0.132	ABC
ACB	0.155	0.251	other
ACB	0.168	0.275	other
ABC	0.0995	0.1335	ABC
ABC	0.099	0.14	ABC
ABC	0.094	0.13	ABC
ABC	0.1005	0.1265	ABC
ABC	0.0995	0.1375	ABC
ABC	0.1035	0.1445	ABC
ABC	0.101	0.154	ABC
ABC	0.0825	0.1255	ABC
ABC	0.1	0.16	ABC
ABC	0.1165	0.1235	ABC
ABC	0.099	0.139	ABC
ABC	0.0855	0.1155	ABC
ABC	0.0995	0.1295	ABC
ABC	0.09	0.143	ABC
ABC	0.0885	0.1275	ABC
ACB	0.133	0.249	other
ABC	0.1085	0.1165	ABC
ACB	0.1405	0.3075	other
ABC	0.082	0.123	ABC
ABC	0.091	0.14	ABC
ABC	0.106	0.154	ABC
ABC	0.0925	0.1305	ABC
ABC	0.09	0.136	ABC
ACB	0.117	0.236	other
ACB	0.132	0.269	other
ABC	0.091	0.13	ABC
ABC	0.076	0.127	ABC
ABC	0.085	0.128	ABC
ACB	0.143	0.3	other
ABC	0.108	0.129	ABC
ABC	0.09	0.128	ABC
ABC	0.094	0.138	ABC
ACB	0.15	0.258	other
ABC	0.0915	0.1175	ABC
ABC	0.1015	0.1525	ABC
ABC	0.111	0.133	ABC
ABC	0.1065	0.1485	ABC
ACB	0.145	0.15	other
ABC	0.0895	0.1395	ABC
ABC	0.0755	0.1275	ABC
ACB	0.1515	0.2835	other
ACB	0.1475	0.2465	other
ACB	0.1155	0.2355	other
ACB	0.1265	0.2505	other
ABC	0.12	0.145	ABC
ABC	0.0825	0.1335	ABC
ACB	0.1295	0.2725	other
ABC	0.116	0.142	ABC
ABC	0.0965	0.1255	ABC
ABC	0.0945	0.1355	ABC
ACB	0.1375	0.2825	other
ABC	0.0915	0.1185	ABC
ABC	0.1185	0.1375	ABC
ABC	0.0955	0.1265	ABC
ABC	0.0995	0.1525	ABC
ABC	0.1175	0.1335	ABC
ABC	0.1035	0.1405	ABC
ABC	0.0845	0.1455	ABC
ABC	0.0925	0.1255	ABC
ABC	0.0935	0.1265	ABC
ABC	0.0825	0.1245	ABC
ABC	0.088	0.129	ABC
ACB	0.1105	0.1485	other
ABC	0.0965	0.1655	ABC
ABC	0.097	0.143	ABC
ACB	0.139	0.253	other
ACB	0.1365	0.2615	other
ABC	0.088	0.127	ABC
ABC	0.0885	0.1315	ABC
ABC	0.102	0.141	ABC
ACB	0.129	0.253	other
ABC	0.0905	0.1425	ABC
ABC	0.102	0.15	ABC
ABC	0.0985	0.1345	ABC
ABC	0.101	0.127	ABC
ABC	0.077	0.125	ABC
ABC	0.094	0.134	ABC
ABC	0.0945	0.1555	ABC
ABC	0.102	0.138	ABC
ABC	0.094	0.132	ABC
ABC	0.084	0.136	ABC
ABC	0.0895	0.1575	ABC
ABC	0.1045	0.1505	ABC
ACB	0.139	0.275	other
ABC	0.1095	0.1445	ABC
ABC	0.1025	0.1455	ABC
ABC	0.0925	0.1355	ABC
ACB	0.1315	0.2605	other
ABC	0.0835	0.1635	ABC
ABC	0.091	0.129	ABC
ACB	0.1415	0.2835	other
ABC	0.103	0.14	ABC
ACB	0.1155	0.2235	other
ACB	0.147	0.257	other
ABC	0.104	0.138	ABC
ABC	0.1025	0.1285	ABC
ACB	0.1225	0.2625	other
ABC	0.0915	0.1575	ABC
ABC	0.087	0.125	ABC
ACB	0.1305	0.2305	other
ABC	0.0875	0.1205	ABC
ABC	0.094	0.119	ABC
ABC	0.1025	0.1485	ABC
ABC	0.078	0.133	ABC
ABC	0.0945	0.1415	ABC
ABC	0.087	0.154	ABC
ABC	0.0905	0.1755	ABC
ABC	0.0985	0.1515	ABC
ABC	0.0895	0.1325	ABC
ABC	0.091	0.144	ABC
ACB	0.15	0.254	other
ABC	0.0885	0.1285	ABC
ACB	0.17	0.246	other
ABC	0.094	0.13	ABC
ABC	0.081	0.112	ABC
ABC	0.0945	0.1325	ABC
ACB	0.1335	0.2155	other
ABC	0.1045	0.1245	ABC
ACB	0.1365	0.2325	other
ACB	0.1295	0.2755	other
ABC	0.087	0.142	ABC
ABC	0.0895	0.1465	ABC
ACB	0.1415	0.2775	other
ACB	0.134	0.146	other
ABC	0.093	0.126	ABC
ABC	0.109	0.146	ABC
ABC	0.088	0.124	ABC
ACB	0.119	0.237	other
ABC	0.149	0.169	ABC
ABC	0.098	0.128	ABC
ABC	0.101	0.162	ABC
ABC	0.0945	0.1545	ABC
ABC	0.0855	0.1285	ABC
ABC	0.097	0.119	ABC
ACB	0.1605	0.2735	other
ABC	0.092	0.129	ABC
ABC	0.096	0.157	ABC
ABC	0.0855	0.1385	ABC
ABC	0.096	0.136	ABC
ABC	0.0875	0.1485	ABC
ABC	0.0885	0.1425	ABC
ABC	0.0875	0.1535	ABC
ABC	0.089	0.125	ABC
ABC	0.1035	0.1365	ABC
ABC	0.0825	0.1515	ABC
ACB	0.1425	0.2865	other
ABC	0.094	0.122	ABC
ABC	0.122	0.141	ABC
ABC	0.106	0.147	ABC
ABC	0.0975	0.1305	ABC
ABC	0.099	0.139	ABC
ABC	0.1055	0.1495	ABC
ACB	0.15	0.156	other
ABC	0.1	0.166	ABC
ABC	0.089	0.141	ABC
ABC	0.0915	0.1265	ABC
ABC	0.092	0.131	ABC
ACB	0.1465	0.2615	other
ABC	0.0845	0.1215	ABC
ACB	0.144	0.248	other
ABC	0.09	0.115	ABC
ABC	0.079	0.124	ABC
ABC	0.092	0.165	ABC
ACB	0.178	0.283	other
ABC	0.0875	0.1545	ABC
